class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_note,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_publisher,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/5GQCpP8JBfZH,piano sonata,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,has_part,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1876-01-01,44.0,Journal des demoiselles,,,,,,,,,,,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/26TsCae57TVa,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Hortense Wild,,,,,,,,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,has_version,,,,,,,,,,,https://catalogue.bnf.fr/ark:/12148/cb433379188,"3 sonatines for piano, Op. 20","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/MzUK38XpCjqB', 'label': 'Bibliothèque nationale de France'}",1872-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/DKdeWwAqyKRJ', 'label': 'Auguste Durand'}",,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,has_version,,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=89100,,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1890-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,title,,,,,,,,,,,,,,,,,,3me sonatine. musique de Mlle H. Wild,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,instrumentation,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,depicts,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,about,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,language,,,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,3me sonatine. musique de Mlle H. Wild,,,3me sonatine. musique de Mlle H. Wild,3me sonatine. musique de Mlle H. Wild.md,Bv7PDGtc5dE9,204582951609686691469,based_on,,,,,,,,,,,,,,,,,,,,,,,,,
