class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,has_part_value,part_of_value,part_of_publication_date,part_of_volume,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_external_source,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,instance_of,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,part_of,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,1877-01-01,45.0,Journal des demoiselles,,,,,,,,,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NQKrs6QNuU6A,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Mgp8YUwRv3Jz', 'label': 'librettist'}",Achille de Lauzières,,,,,,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,contributor,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/VcpJBubpN5Jf,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Louis Bordèse,,,,,,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,has_version,,,,,,,,,,https://imslp.org/wiki/Un_concert_chez_les_demoiselles_de_Saint-Cyr_(Bord%C3%A8se%2C_Luigi),"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/gAK3b5Jh5UVf', 'label': 'International Music Score Library Project'}",1877-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",https://ks15.imslp.org/files/imglnks/usimg/5/5a/IMSLP250564-SIBLEY1802.24274.9db4-39087011142348concert.pdf,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,has_version,,,,,,,,,,https://catalog.b-bc.org/cgi-bin/koha/opac-detail.pl?biblionumber=88151,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/iKoQN6jW4jjj', 'label': 'Royal Conservatory of Brussels'}",1877-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,title,,,,,,,,,,,,,,,Un concert chez les demoiselles de Saint-Cyr: opérette en un acte,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/cyw32uWwiuUQ,3.0,voice,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,instrumentation,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,language,,,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Un concert chez les demoiselles de Saint-Cyr,,,Un concert chez les demoiselles de Saint-Cyr,Un concert chez les demoiselles de Saint-Cyr.md,SUrWQhaKnmHL,504982498605912151740,based_on,,,,,,,,,,,,,,,,,,,,,,,
