class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,contributor_role,contributor_label,has_version_permalink,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_note,title_value,instrumentation_value,instrumentation_quantity,instrumentation_label,depicts_value,about_value,language_value,based_on_value
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/8FqAjuo6FtkU,song,,,,,,,,,,,,,,,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,has_part,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,23.0,1856-01-01,Journal des demoiselles,,,,,,,,,,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/GtHJaJBarc2K,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/FM6DzoKyNv6j', 'label': 'dedicatee'}",Adolphe Aimé Lecadre,,,,,,,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,contributor,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nBadkY3jYgWe,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/9Y8pKvFMJST5', 'label': 'composer'}",Charles Delioux,,,,,,,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,has_version,,,,,,,,,,,https://cat.orpheusinstituut.be/cgi-bin/koha/opac-detail.pl?biblionumber=22186,"{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/nvkQnSyBbvsT', 'label': 'Orpheus Instituut'}",1856-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]","au Docteur Lecadre, probaly [Adolphe Aimé Lecadre](http://www.wikidata.org/entity/Q105833783).",,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,title,,,,,,,,,,,,,,,,Fauvette: Chansonette.,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,instrumentation,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/HVUSjYYisyE8,1.0,piano,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,depicts,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,about,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,language,,,,,,,,,,,,,,,,,,,,,,,
Manifestation,Mandoline. Sérénade.,,,Mandoline. Sérénade.,Mandoline. Sérénade..md,ju8BRMVThr4C,864574752783994420300,based_on,,,,,,,,,,,,,,,,,,,,,,,
