class,label,aliases,description,base_name,filename,id,n_id,property,instance_of_value,instance_of_label,has_part_value,part_of_value,part_of_volume,part_of_publication_date,part_of_label,contributor_value,has_version_external_source,has_version_note,has_version_holding_institution,has_version_publication_date,has_version_place_of_publication,has_version_permalink,title_value,instrumentation_value,depicts_value,about_value,language_value,language_label,based_on_value
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,instance_of,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/Ue6ZuYvAVpqW,periodical,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,has_part,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,part_of,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/NS7S3TJjbHvU,33.0,1865-01-01,Journal des demoiselles,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,contributor,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,has_version,,,,,,,,,https://archive.org/details/bub_gb_EV4EAAAAYAAJ,"The publication date listed in Internet Archive is wrong. According to the digitization, it is 1865.","{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/G9FZhC6pNp69', 'label': 'Internet Archive'}",1865-01-01,"[{'value': 'https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/7VQdaj7JW86d', 'label': 'Paris'}]",https://archive.org/details/bub_gb_EV4EAAAAYAAJ,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,title,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,instrumentation,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,depicts,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,about,,,,,,,,,,,,,,,,,,,,,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,language,,,,,,,,,,,,,,,,,,,https://nicholascorniaorpheus.github.io/tresor-des-demoiselles/entity/fcrABEiDKbza,French,
Manifestation,Journal des demoiselles (1865),,,Journal des demoiselles (1865),Journal des demoiselles (1865).md,mApx5hxvaHZz,890538153712227478121,based_on,,,,,,,,,,,,,,,,,,,,,
